index,keep_incomplete_data,normalize_data,standardize_data,full_one_hot,polynomial_degree,reg_fit_intercept,lasso_alpha,ridge_alpha,ridge_solver,el_net_alpha,el_net_l1_ratio,knr_n_neighbors,knr_weights,knr_p,linear_regression_mse,lasso_mse,ridge_mse,elastic_net_mse,knr_mse
108,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,5,uniform,1,5.383911042311468e+16,578.6145127510715,572.6042509615174,579.0983258512657,0.9722856595854484
109,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,5,uniform,2,709737.7397655614,578.3623137507468,571.7621130772237,579.1457908952657,0.8786528124173673
110,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,5,distance,1,5.572610041200922e+21,579.179631860625,570.4379037687924,579.2361832874434,1.0225278771434143
111,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,5,distance,2,1673.4823784607638,578.3722725364213,571.8565761224997,578.6915079218733,1.0631759753992394
112,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,10,uniform,1,3254.491669113681,579.9037086940447,571.0830239288695,580.1345506130891,0.8655635954762021
113,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,10,uniform,2,2740.914912613052,580.5820849111506,570.4507768595519,580.228933050342,0.8960128458891251
114,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,10,distance,1,1479.9429228375736,577.9540846026916,569.4808929063631,578.1522697451244,0.795206748769606
115,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,10,distance,2,3.24233219027715e+21,580.1944107693395,571.6706248856523,580.2512606310501,0.8501402385495942
116,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,15,uniform,1,687.7594660658142,578.9080590777874,570.6895662726114,579.3195993838557,0.878408476397906
117,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,15,uniform,2,6.850048771383148e+20,578.7021090867995,568.2135190140492,579.0496531313387,0.8415174403544754
118,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,15,distance,1,4.561700878292192e+21,579.5470209895184,571.9903468735454,580.0306542392779,0.8421962929689807
119,False,False,True,False,5,False,1.0,1.0,auto,1.0,0.5,15,distance,2,29145.515294449877,579.8441138529138,567.6385785106781,580.2431148841581,0.9011585391893282
120,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,55416.090747639675,570.1962763586333,576.317074542976,570.1269382873764,0.9035787948711088
121,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,135390.7054403135,570.1657377530363,577.208455562368,570.5180436420968,0.9226343137584216
122,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,5,distance,1,1027579.072950628,569.9841277850286,567.2033945343826,570.0593023584677,0.9175091582497028
123,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,5,distance,2,15178.013212424936,569.9881256900188,588.315821380317,570.0408411170117,0.8953754351627097
124,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,2512459.433197916,570.3214869284764,582.2565201530037,570.4422929226728,0.9047296518639644
125,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,74222.5611586789,569.9409295120183,590.1152687680543,570.0310252978642,0.8192582658870853
126,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,10,distance,1,534631.2579709758,570.0373839937516,579.2896373117628,570.1726849623481,0.8132579118406357
127,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,10,distance,2,10050.06366463802,570.1533919318157,580.5091385056409,570.2464202482471,0.8484337333505216
128,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,3829.534570938333,569.970661643843,567.5852885775482,570.1462321558347,0.8831801472532185
129,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,23554.6276632664,570.1212208947437,568.6495661269782,570.1508787874195,0.8284578477441953
130,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,15,distance,1,1445698.951909051,569.9889445198334,583.6497788279288,569.9822524113063,0.8200973503387603
131,False,False,True,False,6,True,1.0,1.0,auto,1.0,0.5,15,distance,2,56125.600200136716,570.0771652077524,598.279335176165,570.3314495391937,0.9015482286981312
132,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,5,uniform,1,1.2558232219261553e+21,579.0504010731653,573.5365903273213,579.1248703879962,0.8892080465171865
133,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,5,uniform,2,6.733537282848887e+16,580.1060209954936,596.3668550832127,579.8642550500442,0.9186764007580358
134,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,5,distance,1,12159.45133563233,579.9917093885656,579.3623856915336,579.5793058502725,0.8912773094174679
135,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,5,distance,2,2546876.2341357777,578.4761834312602,578.037707775663,578.4190469401791,0.9137443581158968
136,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,10,uniform,1,3.815355865638998e+19,578.8870435189273,572.2583680991718,578.8749537806352,0.9144205161779668
137,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,10,uniform,2,15714.128287582338,580.2509027023757,574.6106392484287,579.957301020157,0.8496221946889388
138,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,10,distance,1,8096576.476768811,580.0957618483367,591.1163113731798,580.2165162264735,0.8765695355785205
139,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,10,distance,2,18811.495550819243,579.4348809699824,570.9660591657619,579.2475801582777,0.8937032936953534
140,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,15,uniform,1,9.537680831389943e+19,579.5946203601809,588.8517746483077,579.3501748994606,0.8052623328326988
141,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,15,uniform,2,3433280044.345567,579.6724786387974,570.6946385924354,579.5963923434093,0.8541475634826918
142,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,15,distance,1,8675.985931449006,578.8058053848106,588.6222110945248,578.8494287815623,0.855703161780848
143,False,False,True,False,6,False,1.0,1.0,auto,1.0,0.5,15,distance,2,2342832.2293750844,579.3165550990329,585.9704915986581,579.0862815663983,0.8949033177817425
144,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,5991421.285919093,570.2559226326763,616.3563889760013,570.2693173948653,0.8491582093512964
145,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,154444.13973193918,570.4534140701411,675.4248197321344,570.2935999429229,0.8938893522827908
146,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,5,distance,1,3.9967138649017785e+21,569.9003895061879,621.8767639341721,569.6943943363054,0.9602063806967016
147,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,5,distance,2,700966.4514108375,570.1398199045598,765.2458839861063,569.8299019357821,0.9084224195206898
148,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,2320021.3059395542,570.2796480494255,786.5081090385454,570.8356967921646,0.8318301277918141
149,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,135170.03414945927,569.9511958810488,625.2913334814489,570.2575980217082,0.8115183674460147
150,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,10,distance,1,960878.9413265428,570.3504163715933,653.1104223513612,570.6840075135729,0.880933037651852
151,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,10,distance,2,630786.3840306413,570.7474818491827,622.9672448505519,571.1990348732054,0.8855344888726477
152,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,790993.5183027345,570.1352509994945,605.2319061538667,569.9877441559518,0.8781389583924321
153,False,False,True,False,7,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,2.9311401884224213e+21,570.1359757206965,649.5567342359715,569.7310709490934,0.8739180756103743
